@relation engine_fault_detection_dataset

@attribute Vibration_Amplitude numeric
@attribute RMS_Vibration numeric
@attribute Vibration_Frequency numeric
@attribute Surface_Temperature numeric
@attribute Exhaust_Temperature numeric
@attribute Acoustic_dB numeric
@attribute Acoustic_Frequency numeric
@attribute Intake_Pressure numeric
@attribute Exhaust_Pressure numeric
@attribute Frequency_Band_Energy numeric
@attribute Amplitude_Mean numeric
@attribute Engine_Condition numeric

@data
1.066954,1.493009,486.807795,47.46747,577.156025,94.568398,716.785404,95.713975,108.154665,0.491987,0.454607,0
6.873907,2.835422,1791.468725,34.883373,386.134345,80.35161,4933.724591,118.519283,99.212511,0.426958,0.478309,0
4.45751,0.543668,109.611461,33.958087,382.45882,86.891303,2386.702276,114.798804,97.565244,0.424111,0.209251,2
1.308179,4.61368,419.602824,85.784444,400.825492,100.866613,1171.30066,100.781678,92.196556,0.326375,0.233376,1
5.002251,0.746814,1509.052917,39.960504,489.249612,102.03988,4722.076047,102.644152,89.885758,0.492784,0.190662,0
0.440446,1.163239,1424.568302,91.460146,467.224116,61.653385,2396.20522,90.11514,85.394239,0.592771,0.391067,1
9.102272,2.812764,592.757954,69.30006,289.13398,106.15816,1802.000081,97.542967,81.804293,0.650352,0.387685,0
2.661922,3.83226,142.809253,70.275479,225.558139,89.611135,1147.669509,98.678894,99.034929,0.297843,0.118006,1
6.658971,3.115789,1718.994583,106.27308,579.701652,93.401926,1412.58971,103.582161,103.376014,0.755059,0.198108,0
3.18594,1.199063,641.121323,49.571761,304.427904,77.879651,4898.1756,94.171494,105.73288,0.124326,0.114094,0
5.248673,0.054668,407.512562,121.986404,455.438674,85.250027,1589.469856,104.363007,101.729235,0.775396,0.032846,1
5.512432,3.797895,1041.802408,99.84371,531.375201,102.622508,4891.249026,110.054055,106.908526,0.354671,0.0375,2
1.930059,4.926776,1822.249855,139.793355,320.1107,106.602828,1718.053434,101.138469,109.484195,0.433001,0.081943,1
9.698888,4.05907,106.222224,73.780878,454.173365,83.226371,1233.950481,96.965858,108.850039,0.62264,0.024642,1
7.773815,2.328023,1536.292094,147.925799,243.160096,101.467052,998.484496,106.431495,97.766909,0.649406,0.217356,1
9.40104,4.523648,1153.496991,99.099318,587.972578,75.48261,2118.087076,90.870117,86.726,0.479039,0.04137,1
8.958791,2.078746,862.389251,146.808235,223.26331,109.92136,1260.351598,100.225124,83.190663,0.944109,0.425232,0
6.01921,2.648424,1493.279279,33.247278,375.26987,96.588854,3514.996023,105.827707,109.81775,0.872493,0.35892,0
9.226555,2.411792,1932.33236,117.357159,414.727697,106.511191,1274.881503,100.075284,89.251707,0.302533,0.393985,0
0.976076,2.265738,473.828298,127.994583,516.192711,88.629291,4193.44454,100.362943,81.019132,0.630019,0.312565,0
2.04023,3.887194,304.421783,36.380794,248.451407,73.746557,4186.655167,115.4489,91.731383,0.748887,0.3353,1
0.54775,2.657506,1827.505856,99.47636,376.32319,85.753867,1499.079233,118.019754,102.442992,0.295249,0.065571,0
3.32077,1.61775,1344.527093,126.233075,319.884628,82.889124,3792.346639,114.821779,106.724,0.116605,0.038502,0
3.947905,1.327883,887.212323,97.324647,324.804286,79.962993,4301.974792,92.966024,94.326915,0.978044,0.494715,0
2.786355,0.236849,1155.053949,37.657631,511.515166,72.730425,2991.650935,98.692273,88.820867,0.962514,0.192745,1
8.304501,2.936816,1496.315532,113.213669,202.184378,105.550029,1895.028813,111.338831,103.352126,0.388313,0.035122,2
3.631858,1.188309,1550.603159,37.27163,499.633457,65.1811,2260.739215,119.231784,95.113051,0.315203,0.088227,1
2.881252,0.783263,1841.390478,128.096267,524.159372,113.253656,3952.521439,97.268446,82.580888,0.239153,0.438361,0
5.472691,3.286458,865.148722,35.164102,560.544898,70.501483,1537.255574,116.946314,106.632491,0.718431,0.110841,0
1.49515,3.421986,600.953602,46.487686,450.752721,118.792419,1738.865438,112.17045,99.674211,0.779763,0.238851,0
8.04175,3.773167,1286.535248,63.012911,333.382131,119.308083,887.843248,119.503511,81.104364,0.478362,0.337062,1
0.838051,2.542706,843.141241,106.003775,370.893893,83.903222,2055.356775,92.807564,80.271702,0.318528,0.483275,1
9.870181,4.47557,1197.304939,147.163092,587.894433,119.269264,523.924148,101.842372,82.631647,0.503851,0.016905,0
7.745223,4.684897,851.571881,44.138742,552.474731,112.144111,1673.068761,104.34345,104.658662,0.564723,0.248915,1
2.067285,4.046486,322.931658,47.12492,385.410364,64.945817,1930.048967,110.162479,94.439231,0.589063,0.498056,1
0.154669,3.196188,949.464968,74.264448,577.225203,116.839714,1351.847749,109.619161,90.059036,0.499031,0.069644,1
8.173068,1.553419,1388.017287,130.346297,529.18195,62.550863,596.654784,117.19036,87.478802,0.10336,0.070621,1
7.097888,4.915577,1602.581939,86.067714,560.435945,70.914858,2656.169489,115.160194,95.20574,0.5246,0.052651,1
7.317171,1.406974,996.786028,68.593272,473.190894,95.075732,4338.897732,91.66118,82.491207,0.412545,0.258844,0
7.735576,1.053152,347.171023,97.34446,543.061617,64.844231,1744.659254,104.596204,98.515414,0.600906,0.180721,1
0.833042,2.238663,841.081665,61.262784,556.706457,69.703665,1260.3277,102.211837,91.415822,0.162441,0.360964,0
3.648811,0.331361,1576.861979,78.139189,236.806634,117.209507,1496.687267,119.914338,105.753201,0.89127,0.289935,2
1.247104,4.893548,837.461356,69.912618,586.086791,119.681273,4323.247188,102.817746,102.632806,0.887897,0.294612,0
8.644724,2.962746,1399.130971,126.496923,333.44524,107.888193,2686.257189,110.478574,80.550985,0.607704,0.260419,1
6.270651,2.806913,1024.28309,140.910687,375.959804,90.912563,740.872721,98.532883,84.994942,0.763408,0.496112,2
3.37589,3.296192,497.621788,121.148663,516.761504,114.018056,3575.18608,108.438869,94.221035,0.494113,0.274134,1
0.729228,2.510267,1596.378006,82.690029,465.958522,66.713926,856.407773,96.198993,99.760408,0.63127,0.045458,1
3.178725,0.208714,186.742639,90.520197,557.223965,116.573512,395.197574,108.1082,101.453778,0.655907,0.167875,1
3.319315,3.080941,1059.28276,45.008843,360.2295,81.093176,1352.855895,116.045707,104.487298,0.4185,0.392532,0
7.323101,3.595061,433.604248,119.623765,349.315265,111.689363,923.64188,90.577134,81.476558,0.964785,0.317943,0
6.411819,2.112908,152.789945,101.577082,212.67554,100.102404,3064.487624,105.137592,80.554496,0.642343,0.345134,2
8.883406,3.798613,1015.809195,138.2928,385.090151,117.616458,2474.375396,119.471119,98.015172,0.991478,0.461685,0
4.774928,1.173656,1009.133069,54.073337,489.628308,111.880677,3647.916297,94.777876,101.714808,0.489134,0.227452,0
1.283983,1.145319,1419.663785,121.167135,320.471487,113.273869,2606.698146,95.50237,103.600884,0.129089,0.019566,0
7.161123,0.849014,1494.606372,112.160599,385.090605,97.905261,2153.129083,104.124712,84.671468,0.372193,0.495144,0
7.631772,1.891374,1461.027148,61.901464,287.759107,109.989512,2678.471583,116.129795,109.062081,0.685709,0.232743,2
5.656644,4.24271,830.926291,110.085437,509.115122,105.427869,2228.981954,106.882788,86.882873,0.919309,0.05783,0
7.732575,4.148165,1270.745779,140.924806,224.204625,69.697388,281.72578,105.261259,87.509911,0.653648,0.278806,1
4.988576,1.94498,1162.35158,140.212319,482.153222,98.915813,3435.425654,92.602712,84.628671,0.524587,0.2992,0
5.275055,2.966138,854.692277,116.355189,351.576005,68.890533,4814.438598,118.85958,81.297423,0.172669,0.286523,0
4.332656,3.618041,1202.481134,35.768774,216.638428,112.167367,2167.964429,100.413478,104.291724,0.230281,0.48281,1
0.351649,1.243974,1895.550796,134.67172,541.387835,63.956988,2176.29162,97.554215,80.169306,0.148122,0.166621,0
1.168125,0.882298,401.929612,108.933433,395.088745,119.2228,324.267505,102.352318,93.913396,0.740064,0.026911,1
0.411149,4.861875,1813.42875,67.25211,439.727588,84.0376,4462.857515,102.425465,82.759016,0.847982,0.460679,2
6.400463,3.106909,125.841918,52.470043,492.812277,70.237761,4652.694799,103.755993,81.34386,0.247995,0.103707,1
3.212124,4.908008,630.610642,43.944464,462.029773,116.140499,4084.381678,110.656146,108.039708,0.392709,0.37723,1
5.13485,1.721892,590.527592,36.028428,492.342748,62.725559,621.092811,116.038397,104.761995,0.531197,0.109965,0
9.084908,3.530007,1260.202914,120.49239,504.912674,88.206338,4511.096038,91.719386,91.846288,0.228508,0.416198,0
2.567993,1.151888,279.825405,58.30116,435.660612,106.213628,217.382751,104.723057,93.757812,0.474572,0.454127,1
4.162791,1.342941,1767.048271,32.910352,346.255132,79.005029,2278.414184,102.419344,106.043377,0.970149,0.061625,1
7.579956,2.583916,1660.531789,77.672478,297.25686,91.73008,2553.055905,90.326403,103.905108,0.747233,0.082165,0
2.365102,1.63211,1311.090323,87.91285,561.161295,102.024781,4186.610295,114.494684,100.74845,0.250239,0.463391,0
0.862101,0.879727,927.659387,50.307628,587.969938,117.118585,3779.210146,93.129396,96.096961,0.188933,0.387645,1
2.968539,1.351259,1867.252963,35.2858,343.065102,66.162158,4005.774793,93.44244,98.234673,0.500636,0.029059,0
1.696091,0.226955,1664.878178,52.695058,244.924292,69.433602,4352.714653,91.448953,91.800751,0.989156,0.099278,0
9.304007,3.536897,1008.643993,111.492331,289.014931,90.532254,2432.74751,96.012649,95.842911,0.813954,0.211917,0
8.100392,2.485977,1409.709242,39.869241,468.266938,85.108498,3923.236532,95.304488,96.190934,0.363811,0.433457,0
6.370697,0.516503,1142.521305,96.604444,269.173348,84.64777,433.362163,100.435975,105.945188,0.123653,0.084018,2
8.72746,0.899885,1184.125632,47.569439,512.048909,77.81769,2278.277471,109.778112,86.559622,0.47016,0.364829,0
8.056354,0.557546,675.332617,53.482701,569.212096,93.641088,247.650107,91.628827,87.398649,0.244484,0.05102,1
1.947044,3.082334,934.927517,77.169346,585.460606,112.9973,4585.04382,115.808273,86.328127,0.262253,0.238913,0
8.936334,0.516341,174.680433,42.09904,203.730202,69.65546,4796.227532,99.797358,97.375033,0.246068,0.367207,1
5.439488,3.783698,727.550409,50.78442,583.261666,72.91718,511.301395,108.19822,100.854731,0.747647,0.04171,1
8.093658,0.151529,1397.74046,71.874289,496.077768,100.24941,2709.870558,90.360153,87.155076,0.132257,0.110077,2
8.971304,1.28441,1907.36774,69.560281,233.620093,63.371859,1693.184071,100.974237,100.308846,0.60826,0.397986,1
3.248234,4.4588,1926.866943,119.912578,366.096188,100.425852,1778.417995,90.061527,98.842734,0.777269,0.090124,2
1.189514,3.60673,1120.331281,38.973877,480.01819,78.867369,2308.430301,94.963748,89.632345,0.240768,0.337093,0
2.356558,0.411193,1221.112059,133.254088,582.674197,81.471236,712.82323,103.435513,86.894565,0.903638,0.324671,0
4.328367,4.114574,387.727947,127.94786,265.656557,84.332962,985.773974,106.052623,106.454179,0.170321,0.264993,1
8.198346,2.490524,1396.710054,121.918997,251.093313,80.975254,2929.106435,94.587858,97.090066,0.714435,0.108838,0
8.621233,4.241576,159.904409,67.124683,388.938821,110.472577,191.903956,112.356488,101.116976,0.254768,0.214301,2
0.168826,3.023662,583.677658,128.745814,587.239557,116.764107,3039.025008,95.67011,107.760165,0.825429,0.314666,0
5.156398,3.425074,1343.359428,51.93625,588.551686,92.880689,1662.69422,93.475353,86.161927,0.614258,0.442045,0
4.232369,4.967833,634.41406,44.929105,291.165896,94.91271,4177.811433,100.002735,90.516628,0.630285,0.400949,1
2.298867,1.200061,118.696811,35.39476,327.738859,64.228986,3040.031888,106.54286,93.033502,0.41142,0.307599,1
1.286667,3.138531,1667.103411,142.717244,563.212794,102.791516,3569.646883,119.667054,86.986835,0.354936,0.121951,1
3.44239,2.328591,634.453414,66.961308,493.936596,95.045932,660.683388,102.561472,105.212616,0.516989,0.116183,0
9.434806,0.245287,144.948345,140.114146,588.926571,63.023671,1402.725587,102.779893,82.502093,0.781942,0.408805,0
3.299709,0.12163,168.080566,62.713627,557.259345,71.90554,4983.681084,91.780004,87.174783,0.251398,0.335567,0
5.236027,0.640181,518.482422,138.907915,286.03842,72.116605,2224.89601,112.97459,85.731024,0.834643,0.18545,0
7.059888,3.263004,372.471575,138.471486,503.890744,70.258077,1858.439506,95.45349,108.601752,0.531854,0.486026,1
3.699933,2.857457,1553.114233,140.841125,219.426093,99.518757,4381.891259,112.344107,98.820625,0.506993,0.445983,1
9.720643,2.789476,656.934412,89.538413,527.133111,115.706377,262.065583,117.318506,101.486456,0.114938,0.339041,0
9.628228,0.207691,1613.297654,133.913554,440.622705,105.77852,2720.389472,113.046623,83.252633,0.211776,0.190923,0
2.592645,2.37305,364.215076,144.091908,582.440385,88.642409,1130.260348,109.273603,85.820317,0.488775,0.161291,0
5.02276,4.626883,995.900775,68.954033,584.012982,84.243078,1903.948678,108.117489,104.296654,0.983169,0.470298,0
3.078695,2.01808,1382.313524,80.264929,220.326044,83.187486,1078.907652,103.608987,97.031926,0.325135,0.227298,2
2.919921,3.143366,1310.941891,116.308822,264.208594,96.074817,285.331522,94.336281,81.353646,0.10923,0.402008,0
0.465181,3.910102,1210.236232,66.043179,393.682819,81.55324,2140.909456,113.365158,96.970093,0.492261,0.470464,1
6.134687,3.93043,1851.146772,120.457117,551.79741,73.567318,3967.094804,104.319668,94.261563,0.114359,0.251083,0
5.076522,2.620436,472.479792,38.867057,525.778057,96.170574,4764.57672,108.769375,84.610811,0.402599,0.330023,1
0.60964,4.296862,997.564025,92.819806,585.748011,83.442325,3156.879576,101.220457,97.788225,0.41865,0.052265,0
2.8586,1.987322,1770.305249,44.677618,447.233647,60.84749,2005.301753,96.021682,85.214529,0.102118,0.329765,0
9.091832,4.449031,174.229656,65.198817,302.625408,61.333867,3872.29084,114.195254,104.343503,0.801611,0.115391,0
2.471663,1.239124,130.658771,61.035047,210.042656,76.448197,2575.597519,100.271994,98.55468,0.921566,0.338557,1
1.534459,1.437071,481.938529,130.671849,289.170596,90.745332,1901.339371,116.000401,106.139352,0.998884,0.059512,2
4.945582,0.312947,1273.382015,53.222071,470.109279,81.25437,977.539494,118.971747,92.739988,0.557903,0.252652,1
9.857939,3.98813,534.56166,127.01375,570.509929,61.443309,4001.036923,114.899656,95.357627,0.375957,0.265298,0
2.496347,2.114423,396.67497,125.275242,328.361467,73.389106,2552.086374,93.844141,102.817534,0.745727,0.246925,1
6.754142,1.184127,928.428584,89.865967,550.281732,65.785159,4822.638332,115.650328,96.388286,0.762817,0.380795,0
7.640034,1.197362,1234.924176,58.061191,357.959299,116.91792,4029.357042,105.580735,97.159526,0.441269,0.379715,0
2.452612,4.51193,512.14426,57.227561,323.3085,78.770045,2158.078984,97.242348,96.60017,0.609027,0.356125,1
7.309342,4.177887,615.36855,85.790958,403.537697,60.885982,3730.1652,92.794681,94.739465,0.839593,0.319499,0
3.741053,2.789978,1234.847424,31.057081,376.909397,99.633795,2321.618315,98.355295,104.17091,0.270257,0.453152,0
6.359828,3.099748,1892.562076,93.762091,565.519947,73.946876,491.342069,94.122812,94.556349,0.118426,0.292063,0
6.371944,2.397912,1355.98862,144.333543,387.302779,94.004175,2631.737153,90.769337,107.023836,0.585727,0.180678,0
5.404169,1.988749,1570.150204,48.564826,310.934155,69.044727,4342.070236,119.63293,104.258499,0.697953,0.039003,0
0.993869,4.581611,746.283988,98.801475,537.026231,119.040794,4291.662461,114.946267,100.773202,0.617476,0.272549,0
8.369495,0.671783,559.063632,145.413443,599.499805,118.215551,2917.337877,112.168478,106.959755,0.63662,0.121594,0
3.275723,2.121312,919.450132,133.262657,459.268568,99.359001,1962.115328,95.790413,96.112799,0.453784,0.199612,0
1.946533,1.755581,1618.123001,132.045614,300.184548,102.432157,149.492951,90.832093,104.655228,0.686345,0.034474,1
0.503674,2.515846,923.473291,128.621992,295.526031,85.552733,1625.907917,104.556116,87.254691,0.13853,0.32403,0
5.94984,2.315278,1696.516309,67.082833,223.082678,117.730761,4950.062029,112.250833,82.189269,0.236066,0.444478,2
6.807887,2.618503,1977.768522,136.87402,230.917215,85.424377,3659.806063,118.885121,100.550019,0.500328,0.169319,0
0.26422,0.742599,162.612798,142.960842,565.993238,74.36808,3616.183963,115.316511,89.048309,0.948689,0.404389,0
5.169721,2.59005,109.912109,89.495091,238.594843,66.922717,3829.308613,116.805071,99.03814,0.680043,0.071889,0
2.342308,1.249973,316.187612,72.548526,393.737539,72.487518,3138.555578,97.159882,82.32183,0.419751,0.364338,0
6.487211,0.96244,781.051958,79.707482,479.248712,94.33281,2970.70742,94.659781,108.669432,0.512163,0.049083,1
1.826228,0.370929,279.463574,70.104773,540.141913,74.705503,2322.734351,97.433453,95.45344,0.861071,0.136729,1
6.940284,3.82513,1743.915666,55.490213,268.50838,99.254966,2275.276569,94.157384,80.285788,0.588223,0.186518,1
3.92868,2.165838,65.829577,104.213816,375.111472,82.931071,4367.157432,113.954515,94.282306,0.14308,0.086826,0
9.373627,3.151886,645.269578,97.511626,300.592078,113.212374,2027.935682,117.091292,103.691625,0.475179,0.100404,0
1.461457,3.651587,385.695366,85.510209,302.329236,93.508684,4217.429742,99.220261,105.956572,0.449227,0.352474,0
3.476557,3.412617,1864.447874,41.501446,321.535723,97.356243,4204.898686,116.307785,93.837843,0.909901,0.056926,2
1.223388,2.378979,1345.57239,125.627156,434.846486,93.393588,3877.401177,91.651055,83.778095,0.374871,0.467615,2
9.254467,1.970098,1825.819908,50.992028,206.630989,113.134126,284.447759,110.320696,107.185098,0.158224,0.386498,1
8.78566,1.911002,1945.210846,43.747445,363.506515,63.805174,825.063998,105.824796,109.435112,0.419339,0.1848,0
2.653622,3.218242,1004.254522,104.768567,274.732054,64.040922,1642.055197,98.302299,81.895817,0.139508,0.318093,2
6.633842,2.499232,483.951834,77.837323,586.847403,102.104415,4252.913377,113.046033,82.342034,0.849062,0.362514,1
8.1905,4.253205,403.582997,37.177017,433.091664,106.077834,4378.970969,96.361418,96.967834,0.631186,0.301297,0
5.596488,4.379775,461.379346,72.668203,547.238188,86.015365,303.630742,102.484485,96.017013,0.522439,0.312946,0
5.343541,0.894274,1423.014749,122.613642,278.275995,81.138312,1691.15031,111.29578,97.65964,0.423861,0.458825,0
2.494338,0.724357,100.082542,103.829905,524.00628,76.676704,4266.882603,100.146869,89.513378,0.475891,0.441736,0
1.021717,3.170485,121.694925,73.534323,365.912985,74.063693,1323.49692,115.660806,81.510292,0.809057,0.457764,0
8.982436,1.541067,1224.123026,53.016575,271.077876,114.717515,4882.416202,115.96281,97.410534,0.262013,0.443753,1
9.014139,0.141925,1291.273151,105.815474,504.498081,77.708373,2497.588456,96.075913,84.543367,0.164295,0.345843,0
6.367704,4.448781,1337.22059,136.506636,504.804439,98.884728,4692.832178,103.2117,90.237773,0.605552,0.25096,0
3.456395,1.173159,756.323399,107.552726,598.355163,107.225687,2201.249332,102.960379,97.473475,0.873016,0.248818,0
3.557175,4.649939,1615.77088,127.548463,512.374905,61.317995,1686.614743,102.301354,86.254597,0.606013,0.388065,0
7.286961,3.601301,1076.576684,92.583341,258.106899,62.032449,1875.809859,105.059164,96.273882,0.81654,0.462738,0
8.981392,3.825135,228.821947,116.156533,329.017897,79.988244,4433.072854,92.230989,101.441545,0.903483,0.053149,0
8.882156,1.047234,1598.256628,137.547213,380.690767,101.760945,1720.377993,116.1015,81.973412,0.169199,0.439645,0
7.820768,1.209262,1907.074217,122.781477,250.661122,75.647918,3379.796485,98.697443,98.58417,0.630262,0.426342,2
6.456113,2.630275,138.8719,139.182474,515.21559,60.088997,2402.229142,90.054372,95.283029,0.849481,0.052919,2
0.932986,0.901894,794.875651,81.736752,410.679415,77.288874,4714.188825,110.553118,82.923302,0.679186,0.331708,0
1.700124,1.561887,985.281769,138.506431,577.779828,65.407849,880.881013,109.514163,101.190359,0.632385,0.486226,0
8.995686,1.641239,310.012105,104.588068,435.723258,73.164798,2200.418467,119.494866,89.326692,0.809268,0.427312,0
6.103648,0.840168,1738.063717,134.405852,409.159633,79.9914,710.705678,111.577416,85.468907,0.736538,0.040793,0
0.191051,1.065655,582.616297,34.725184,228.570061,67.683441,2932.882776,99.981183,88.473661,0.551461,0.463342,0
1.104568,3.953332,1570.356909,108.942286,259.738362,102.381884,2074.206038,118.578527,96.386008,0.13963,0.094812,1
6.668668,0.877619,1348.569074,131.757009,539.810431,75.355214,398.592439,100.960374,97.401688,0.652003,0.045513,0
0.15011,0.190864,1204.130728,50.904244,596.270391,99.665688,4264.206738,114.637341,85.089545,0.291858,0.121641,0
1.692,3.165307,400.44284,109.414432,366.071654,95.941971,1940.022436,100.070222,108.099101,0.328678,0.246787,0
5.532465,4.881116,456.992971,128.994566,524.034433,113.882729,2518.790631,91.461249,89.868308,0.71159,0.40946,1
6.949762,1.689508,113.749841,64.553924,451.034307,65.27599,2096.815344,112.013546,88.048719,0.507785,0.140888,0
6.554416,0.637346,496.610611,78.629559,583.623709,72.876487,2494.398124,100.506328,85.601684,0.745102,0.201224,0
2.320266,2.873417,703.978347,98.342126,295.254894,111.910706,179.993469,100.166631,83.615815,0.453303,0.079128,0
7.150574,4.536453,1669.627702,92.300123,417.934297,109.327887,4095.751694,111.475549,109.462457,0.883029,0.15286,0
2.448766,3.931106,745.45748,34.702727,363.518327,71.526333,1728.309259,99.661136,100.241719,0.484361,0.452014,1
3.321457,3.131454,1514.15113,41.840652,416.68639,66.464161,3649.862646,93.540381,103.610922,0.544441,0.343589,0
7.490265,1.60953,890.095717,42.05599,307.543233,111.374488,417.945297,102.135308,92.04461,0.213643,0.340223,0
6.531366,2.732307,1574.039258,61.472149,399.098465,70.688283,2666.743737,114.715321,92.438326,0.553209,0.132422,0
8.507312,0.501662,1953.017769,59.503694,449.921659,112.266582,4553.080663,93.906135,109.606752,0.31582,0.081645,1
6.610368,3.41078,494.886285,119.066686,232.486354,117.666882,2051.415374,106.634423,86.020708,0.786683,0.44484,0
5.726255,3.639225,1727.436392,98.729326,497.194902,73.248398,1066.569149,93.967779,89.807974,0.74264,0.472387,2
1.02738,4.826907,1251.211691,121.67713,482.609185,110.423256,585.49767,91.475485,85.854846,0.114259,0.036255,1
3.740386,1.338967,1638.242638,38.387527,552.183041,85.429865,4309.531021,101.361293,88.478721,0.544431,0.269779,1
2.725503,0.141359,1310.140086,88.225708,370.342621,107.326705,1270.150514,109.736499,99.907226,0.140855,0.225512,1
2.515497,2.750762,859.420024,68.85307,224.667653,84.443732,4877.848446,98.24962,89.267506,0.612353,0.371818,0
9.732804,3.548613,471.58838,131.992717,384.584452,64.223736,1314.331638,103.371934,106.265691,0.911475,0.157879,1
3.991667,3.962517,158.669746,114.934699,255.043669,102.761716,2456.855879,104.739928,81.459516,0.880452,0.314083,1
8.931261,1.009008,1080.326362,134.311016,458.978725,69.041318,2344.171246,115.238708,90.641636,0.319434,0.050466,0
6.348272,1.345677,1980.845667,35.571255,218.85261,115.621505,403.847135,114.569376,105.82121,0.226102,0.413247,0
7.968632,2.587325,1481.322774,116.498819,349.598562,85.064777,2706.013157,90.070416,98.641351,0.811958,0.126962,0
5.076107,1.686474,668.144172,94.801002,233.137159,64.920009,3395.9408,102.41757,103.128816,0.591564,0.163824,0
